,case,rmse,privacy,real,uniform,nclasses,uniform_original
9599,2mt_14_exponential,548.0437938705264,2,m,1,14,0
9600,3tfNone_14_uniform,26.899840584704403,3,t,0,14,1
9601,3ff_14_uniform,17.03246073601487,3,f,0,14,1
9602,3ft_14_uniform,25.694789787468956,3,f,1,14,1
9603,3tt_14_uniform,32.571289334149675,3,t,1,14,1
9604,3mf_14_uniform,24.132674511543915,3,m,0,14,1
9605,3mt_14_uniform,43.911527213502936,3,m,1,14,1
9606,3tfNone_14_uniform,20.012602150756262,3,t,0,14,1
9607,3ff_14_uniform,29.00901523537691,3,f,0,14,1
9608,3ft_14_uniform,37.63863263545384,3,f,1,14,1
9609,3tt_14_uniform,22.100779272334258,3,t,1,14,1
9610,3mf_14_uniform,28.164479296590095,3,m,0,14,1
9611,3mt_14_uniform,40.642069063690265,3,m,1,14,1
9612,3tfNone_14_uniform,21.735657796371942,3,t,0,14,1
9613,3ff_14_uniform,26.123957790451392,3,f,0,14,1
9614,3ft_14_uniform,48.92851929090009,3,f,1,14,1
9615,3tt_14_uniform,24.796953217863006,3,t,1,14,1
9616,3mf_14_uniform,20.028540879690006,3,m,0,14,1
9617,3mt_14_uniform,35.845346823386684,3,m,1,14,1
9618,3tfNone_14_uniform,26.61577075677624,3,t,0,14,1
9619,3ff_14_uniform,23.166082638419034,3,f,0,14,1
9620,3ft_14_uniform,24.225789747475268,3,f,1,14,1
9621,3tt_14_uniform,30.05180711889234,3,t,1,14,1
9622,3mf_14_uniform,15.343064748454742,3,m,0,14,1
9623,3mt_14_uniform,38.25063543408257,3,m,1,14,1
9624,3tfNone_14_uniform,18.841665503220256,3,t,0,14,1
9625,3ff_14_uniform,17.95594612634607,3,f,0,14,1
9626,3ft_14_uniform,27.604347483684524,3,f,1,14,1
9627,3tt_14_uniform,17.88233144133549,3,t,1,14,1
9628,3mf_14_uniform,21.479185093476644,3,m,0,14,1
9629,3mt_14_uniform,47.10980082035287,3,m,1,14,1
9630,3tfNone_14_uniform,28.586170359698123,3,t,0,14,1
9631,3ff_14_uniform,25.496344320022597,3,f,0,14,1
9632,3ft_14_uniform,32.05204101665486,3,f,1,14,1
9633,3tt_14_uniform,21.483844059095965,3,t,1,14,1
9634,3mf_14_uniform,30.173734138856986,3,m,0,14,1
9635,3mt_14_uniform,34.013069383530734,3,m,1,14,1
9636,3tfNone_14_uniform,21.120756265105463,3,t,0,14,1
9637,3ff_14_uniform,15.891045320580423,3,f,0,14,1
9638,3ft_14_uniform,29.98518152539859,3,f,1,14,1
9639,3tt_14_uniform,21.612753436596474,3,t,1,14,1
9640,3mf_14_uniform,26.064529522956168,3,m,0,14,1
9641,3mt_14_uniform,32.632635334721094,3,m,1,14,1
9642,3tfNone_14_uniform,19.110001930292174,3,t,0,14,1
9643,3ff_14_uniform,20.082215329573206,3,f,0,14,1
9644,3ft_14_uniform,32.231799343022715,3,f,1,14,1
9645,3tt_14_uniform,27.434771124736404,3,t,1,14,1
9646,3mf_14_uniform,27.277147589737574,3,m,0,14,1
9647,3mt_14_uniform,23.108440016582627,3,m,1,14,1
9648,3tfNone_14_uniform,28.156129443257996,3,t,0,14,1
9649,3ff_14_uniform,26.5494084696685,3,f,0,14,1
9650,3ft_14_uniform,29.386315787378816,3,f,1,14,1
9651,3tt_14_uniform,12.727922061357793,3,t,1,14,1
9652,3mf_14_uniform,20.95464833677389,3,m,0,14,1
9653,3mt_14_uniform,37.16330328578313,3,m,1,14,1
9654,3tfNone_14_uniform,16.482070069808824,3,t,0,14,1
9655,3ff_14_uniform,25.516313126210555,3,f,0,14,1
9656,3ft_14_uniform,33.849339399429496,3,f,1,14,1
9657,3tt_14_uniform,26.733250207684545,3,t,1,14,1
9658,3mf_14_uniform,24.42543792652511,3,m,0,14,1
9659,3mt_14_uniform,30.007406493138273,3,m,1,14,1
9660,3tfNone_14_exponential,67.46606093231568,3,t,0,14,0
9661,3ff_14_exponential,219.84955964068348,3,f,0,14,0
9662,3ft_14_exponential,543.5660033519383,3,f,1,14,0
9663,3tt_14_exponential,339.986601043171,3,t,1,14,0
9664,3mf_14_exponential,229.40895611297813,3,m,0,14,0
9665,3mt_14_exponential,519.3185706074615,3,m,1,14,0
9666,3tfNone_14_exponential,60.1800006474522,3,t,0,14,0
9667,3ff_14_exponential,222.9623847361837,3,f,0,14,0
9668,3ft_14_exponential,546.8960900695239,3,f,1,14,0
9669,3tt_14_exponential,364.65112703026705,3,t,1,14,0
9670,3mf_14_exponential,197.48972216627539,3,m,0,14,0
9671,3mt_14_exponential,544.0772004045011,3,m,1,14,0
9672,3tfNone_14_exponential,57.4266494355164,3,t,0,14,0
9673,3ff_14_exponential,231.36072689259794,3,f,0,14,0
9674,3ft_14_exponential,557.4485526834636,3,f,1,14,0
9675,3tt_14_exponential,360.86439435210343,3,t,1,14,0
9676,3mf_14_exponential,182.52368336871703,3,m,0,14,0
9677,3mt_14_exponential,527.3935911631836,3,m,1,14,0
9678,3tfNone_14_exponential,58.92947337051023,3,t,0,14,0
9679,3ff_14_exponential,192.586102632716,3,f,0,14,0
9680,3ft_14_exponential,528.3275499157689,3,f,1,14,0
9681,3tt_14_exponential,363.7447212293551,3,t,1,14,0
9682,3mf_14_exponential,230.9950950121804,3,m,0,14,0
9683,3mt_14_exponential,560.443276939483,3,m,1,14,0
9684,3tfNone_14_exponential,65.05676067121976,3,t,0,14,0
9685,3ff_14_exponential,203.5455658512844,3,f,0,14,0
9686,3ft_14_exponential,532.9073298634779,3,f,1,14,0
9687,3tt_14_exponential,361.8035071385805,3,t,1,14,0
9688,3mf_14_exponential,240.36089517029453,3,m,0,14,0
9689,3mt_14_exponential,557.2378307329819,3,m,1,14,0
9690,3tfNone_14_exponential,61.10229034089546,3,t,0,14,0
9691,3ff_14_exponential,177.3797195850656,3,f,0,14,0
9692,3ft_14_exponential,548.3186421537507,3,f,1,14,0
9693,3tt_14_exponential,362.60416128028237,3,t,1,14,0
9694,3mf_14_exponential,238.40651508056968,3,m,0,14,0
9695,3mt_14_exponential,544.6784984435001,3,m,1,14,0
9696,3tfNone_14_exponential,57.02023671956885,3,t,0,14,0
9697,3ff_14_exponential,202.91972642304532,3,f,0,14,0
9698,3ft_14_exponential,529.4934686408631,3,f,1,14,0
9699,3tt_14_exponential,356.82582118824564,3,t,1,14,0
9700,3mf_14_exponential,212.94017135395956,3,m,0,14,0
9701,3mt_14_exponential,529.2308884913393,3,m,1,14,0
9702,3tfNone_14_exponential,68.81004789970845,3,t,0,14,0
9703,3ff_14_exponential,249.60646146420115,3,f,0,14,0
9704,3ft_14_exponential,543.1744143868008,3,f,1,14,0
9705,3tt_14_exponential,371.47603481845704,3,t,1,14,0
9706,3mf_14_exponential,212.69648051828474,3,m,0,14,0
9707,3mt_14_exponential,521.8720575432678,3,m,1,14,0
9708,3tfNone_14_exponential,73.12995236625117,3,t,0,14,0
9709,3ff_14_exponential,245.21201382345143,3,f,0,14,0
9710,3ft_14_exponential,526.1491127892244,3,f,1,14,0
9711,3tt_14_exponential,366.8699436524543,3,t,1,14,0
9712,3mf_14_exponential,208.83213580445593,3,m,0,14,0
9713,3mt_14_exponential,549.8991826790714,3,m,1,14,0
9714,3tfNone_14_exponential,64.44972447501138,3,t,0,14,0
9715,3ff_14_exponential,172.1649692523439,3,f,0,14,0
9716,3ft_14_exponential,511.4258934043561,3,f,1,14,0
9717,3tt_14_exponential,367.30762160468174,3,t,1,14,0
9718,3mf_14_exponential,247.41767269892506,3,m,0,14,0
9719,3mt_14_exponential,558.4104424365843,3,m,1,14,0
9720,4tfNone_14_uniform,17.878816428585264,4,t,0,14,1
9721,4ff_14_uniform,26.638622378578926,4,f,0,14,1
9722,4ft_14_uniform,34.70050431910176,4,f,1,14,1
9723,4tt_14_uniform,26.339134382131846,4,t,1,14,1
9724,4mf_14_uniform,23.360006333510423,4,m,0,14,1
9725,4mt_14_uniform,29.124731758421397,4,m,1,14,1
9726,4tfNone_14_uniform,25.12779620872362,4,t,0,14,1
9727,4ff_14_uniform,30.162987182882077,4,f,0,14,1
9728,4ft_14_uniform,46.85482899339192,4,f,1,14,1
9729,4tt_14_uniform,26.267851073127396,4,t,1,14,1
9730,4mf_14_uniform,21.235289260819787,4,m,0,14,1
9731,4mt_14_uniform,35.250886513675084,4,m,1,14,1
9732,4tfNone_14_uniform,21.710271669918047,4,t,0,14,1
9733,4ff_14_uniform,24.105283205793473,4,f,0,14,1
9734,4ft_14_uniform,42.38071495385608,4,f,1,14,1
9735,4tt_14_uniform,33.80088756231114,4,t,1,14,1
9736,4mf_14_uniform,18.856563779760783,4,m,0,14,1
9737,4mt_14_uniform,33.374765916782096,4,m,1,14,1
9738,4tfNone_14_uniform,23.152404152617947,4,t,0,14,1
9739,4ff_14_uniform,24.363581459584637,4,f,0,14,1
9740,4ft_14_uniform,40.28957681584655,4,f,1,14,1
9741,4tt_14_uniform,28.731515797117282,4,t,1,14,1
9742,4mf_14_uniform,26.541241754521977,4,m,0,14,1
9743,4mt_14_uniform,36.87987255943274,4,m,1,14,1
9744,4tfNone_14_uniform,15.328701473867234,4,t,0,14,1
9745,4ff_14_uniform,18.959610014024616,4,f,0,14,1
9746,4ft_14_uniform,35.508801725769345,4,f,1,14,1
9747,4tt_14_uniform,27.97320146139873,4,t,1,14,1
9748,4mf_14_uniform,19.19366358398983,4,m,0,14,1
9749,4mt_14_uniform,37.32458974992223,4,m,1,14,1
9750,4tfNone_14_uniform,25.50435381684768,4,t,0,14,1
9751,4ff_14_uniform,26.330590043080594,4,f,0,14,1
9752,4ft_14_uniform,42.66731770336636,4,f,1,14,1
9753,4tt_14_uniform,21.118712081942874,4,t,1,14,1
9754,4mf_14_uniform,26.57285275803709,4,m,0,14,1
9755,4mt_14_uniform,35.0,4,m,1,14,1
9756,4tfNone_14_uniform,19.87389446318726,4,t,0,14,1
9757,4ff_14_uniform,28.657060151917932,4,f,0,14,1
9758,4ft_14_uniform,31.228992939254383,4,f,1,14,1
9759,4tt_14_uniform,18.934096228761486,4,t,1,14,1
9760,4mf_14_uniform,18.79710041960048,4,m,0,14,1
9761,4mt_14_uniform,28.98922213513153,4,m,1,14,1
9762,4tfNone_14_uniform,20.18437431273986,4,t,0,14,1
9763,4ff_14_uniform,20.19447880442329,4,f,0,14,1
9764,4ft_14_uniform,35.50176051972634,4,f,1,14,1
9765,4tt_14_uniform,27.113188672673672,4,t,1,14,1
9766,4mf_14_uniform,18.357682896267736,4,m,0,14,1
9767,4mt_14_uniform,39.04804732633887,4,m,1,14,1
9768,4tfNone_14_uniform,24.430955884085538,4,t,0,14,1
9769,4ff_14_uniform,24.754500482315184,4,f,0,14,1
9770,4ft_14_uniform,28.290899596866833,4,f,1,14,1
9771,4tt_14_uniform,31.65833223655346,4,t,1,14,1
9772,4mf_14_uniform,20.29367891751692,4,m,0,14,1
9773,4mt_14_uniform,29.58039891549808,4,m,1,14,1
9774,4tfNone_14_uniform,20.048835452364774,4,t,0,14,1
9775,4ff_14_uniform,26.94463768602247,4,f,0,14,1
9776,4ft_14_uniform,37.44162122558264,4,f,1,14,1
9777,4tt_14_uniform,29.319362203158512,4,t,1,14,1
9778,4mf_14_uniform,25.510750896895185,4,m,0,14,1
9779,4mt_14_uniform,29.16118996200258,4,m,1,14,1
9780,4tfNone_14_exponential,45.65579211380992,4,t,0,14,0
9781,4ff_14_exponential,203.96715190847587,4,f,0,14,0
9782,4ft_14_exponential,534.7190851278829,4,f,1,14,0
9783,4tt_14_exponential,402.76931983456734,4,t,1,14,0
9784,4mf_14_exponential,208.57428839163248,4,m,0,14,0
9785,4mt_14_exponential,517.2851003073644,4,m,1,14,0
